"hgdp_id"	"Origin"	"Geographic.origin"	"cluster"
"HGDP00511"	"French"	"France"	1
"HGDP00512"	"French"	"France"	2
"HGDP00513"	"French"	"France"	2
"HGDP00514"	"French"	"France"	2
"HGDP00515"	"French"	"France"	1
"HGDP00516"	"French"	"France"	1
"HGDP00517"	"French"	"France"	2
"HGDP00518"	"French"	"France"	2
"HGDP00519"	"French"	"France"	2
"HGDP00520"	"French"	"France"	2
"HGDP00521"	"French"	"France"	1
"HGDP00522"	"French"	"France"	1
"HGDP00523"	"French"	"France"	2
"HGDP00524"	"French"	"France"	2
"HGDP00525"	"French"	"France"	1
"HGDP00526"	"French"	"France"	2
"HGDP00527"	"French"	"France"	2
"HGDP00528"	"French"	"France"	2
"HGDP00529"	"French"	"France"	2
"HGDP00530"	"French"	"France"	2
"HGDP00531"	"French"	"France"	2
"HGDP00533"	"French"	"France"	2
"HGDP00534"	"French"	"France"	2
"HGDP00535"	"French"	"France"	1
"HGDP00536"	"French"	"France"	2
"HGDP00537"	"French"	"France"	1
"HGDP00538"	"French"	"France"	2
"HGDP00539"	"French"	"France"	2
"HGDP00557"	"Druze"	"Israel (Carmel)"	2
"HGDP00558"	"Druze"	"Israel (Carmel)"	1
"HGDP00559"	"Druze"	"Israel (Carmel)"	1
"HGDP00560"	"Druze"	"Israel (Carmel)"	1
"HGDP00561"	"Druze"	"Israel (Carmel)"	1
"HGDP00562"	"Druze"	"Israel (Carmel)"	2
"HGDP00563"	"Druze"	"Israel (Carmel)"	2
"HGDP00564"	"Druze"	"Israel (Carmel)"	2
"HGDP00565"	"Druze"	"Israel (Carmel)"	2
"HGDP00566"	"Druze"	"Israel (Carmel)"	1
"HGDP00567"	"Druze"	"Israel (Carmel)"	2
"HGDP00568"	"Druze"	"Israel (Carmel)"	2
"HGDP00569"	"Druze"	"Israel (Carmel)"	2
"HGDP00571"	"Druze"	"Israel (Carmel)"	2
"HGDP00572"	"Druze"	"Israel (Carmel)"	2
"HGDP00573"	"Druze"	"Israel (Carmel)"	1
"HGDP00574"	"Druze"	"Israel (Carmel)"	2
"HGDP00575"	"Druze"	"Israel (Carmel)"	2
"HGDP00576"	"Druze"	"Israel (Carmel)"	2
"HGDP00577"	"Druze"	"Israel (Carmel)"	2
"HGDP00578"	"Druze"	"Israel (Carmel)"	2
"HGDP00579"	"Druze"	"Israel (Carmel)"	2
"HGDP00580"	"Druze"	"Israel (Carmel)"	1
"HGDP00581"	"Druze"	"Israel (Carmel)"	1
"HGDP00582"	"Druze"	"Israel (Carmel)"	2
"HGDP00583"	"Druze"	"Israel (Carmel)"	1
"HGDP00584"	"Druze"	"Israel (Carmel)"	2
"HGDP00586"	"Druze"	"Israel (Carmel)"	2
"HGDP00587"	"Druze"	"Israel (Carmel)"	2
"HGDP00588"	"Druze"	"Israel (Carmel)"	2
"HGDP00590"	"Druze"	"Israel (Carmel)"	2
"HGDP00591"	"Druze"	"Israel (Carmel)"	2
"HGDP00594"	"Druze"	"Israel (Carmel)"	2
"HGDP00595"	"Druze"	"Israel (Carmel)"	2
"HGDP00597"	"Druze"	"Israel (Carmel)"	2
"HGDP00598"	"Druze"	"Israel (Carmel)"	2
"HGDP00599"	"Druze"	"Israel (Carmel)"	2
"HGDP00600"	"Druze"	"Israel (Carmel)"	1
"HGDP00601"	"Druze"	"Israel (Carmel)"	1
"HGDP00602"	"Druze"	"Israel (Carmel)"	2
"HGDP00604"	"Druze"	"Israel (Carmel)"	2
"HGDP00606"	"Druze"	"Israel (Carmel)"	1
"HGDP00607"	"Bedouin"	"Israel (Negev)"	2
"HGDP00608"	"Bedouin"	"Israel (Negev)"	2
"HGDP00609"	"Bedouin"	"Israel (Negev)"	2
"HGDP00610"	"Bedouin"	"Israel (Negev)"	1
"HGDP00611"	"Bedouin"	"Israel (Negev)"	2
"HGDP00612"	"Bedouin"	"Israel (Negev)"	1
"HGDP00613"	"Bedouin"	"Israel (Negev)"	1
"HGDP00614"	"Bedouin"	"Israel (Negev)"	1
"HGDP00615"	"Bedouin"	"Israel (Negev)"	1
"HGDP00616"	"Bedouin"	"Israel (Negev)"	2
"HGDP00618"	"Bedouin"	"Israel (Negev)"	1
"HGDP00619"	"Bedouin"	"Israel (Negev)"	2
"HGDP00620"	"Bedouin"	"Israel (Negev)"	2
"HGDP00621"	"Bedouin"	"Israel (Negev)"	1
"HGDP00622"	"Bedouin"	"Israel (Negev)"	1
"HGDP00623"	"Bedouin"	"Israel (Negev)"	1
"HGDP00624"	"Bedouin"	"Israel (Negev)"	2
"HGDP00625"	"Bedouin"	"Israel (Negev)"	2
"HGDP00626"	"Bedouin"	"Israel (Negev)"	2
"HGDP00627"	"Bedouin"	"Israel (Negev)"	2
"HGDP00628"	"Bedouin"	"Israel (Negev)"	2
"HGDP00629"	"Bedouin"	"Israel (Negev)"	2
"HGDP00630"	"Bedouin"	"Israel (Negev)"	2
"HGDP00631"	"Bedouin"	"Israel (Negev)"	2
"HGDP00632"	"Bedouin"	"Israel (Negev)"	2
"HGDP00634"	"Bedouin"	"Israel (Negev)"	2
"HGDP00635"	"Bedouin"	"Israel (Negev)"	1
"HGDP00636"	"Bedouin"	"Israel (Negev)"	2
"HGDP00637"	"Bedouin"	"Israel (Negev)"	2
"HGDP00638"	"Bedouin"	"Israel (Negev)"	2
"HGDP00639"	"Bedouin"	"Israel (Negev)"	2
"HGDP00640"	"Bedouin"	"Israel (Negev)"	2
"HGDP00641"	"Bedouin"	"Israel (Negev)"	2
