"hgdp_id"	"Origin"	"Geographic.origin"	"cluster"
"HGDP00001"	"Brahui"	"Pakistan"	1
"HGDP00003"	"Brahui"	"Pakistan"	1
"HGDP00005"	"Brahui"	"Pakistan"	1
"HGDP00007"	"Brahui"	"Pakistan"	1
"HGDP00009"	"Brahui"	"Pakistan"	1
"HGDP00011"	"Brahui"	"Pakistan"	1
"HGDP00013"	"Brahui"	"Pakistan"	1
"HGDP00015"	"Brahui"	"Pakistan"	1
"HGDP00017"	"Brahui"	"Pakistan"	1
"HGDP00019"	"Brahui"	"Pakistan"	1
"HGDP00021"	"Brahui"	"Pakistan"	1
"HGDP00023"	"Brahui"	"Pakistan"	1
"HGDP00025"	"Brahui"	"Pakistan"	1
"HGDP00027"	"Brahui"	"Pakistan"	1
"HGDP00029"	"Brahui"	"Pakistan"	1
"HGDP00031"	"Brahui"	"Pakistan"	1
"HGDP00033"	"Brahui"	"Pakistan"	1
"HGDP00035"	"Brahui"	"Pakistan"	1
"HGDP00037"	"Brahui"	"Pakistan"	1
"HGDP00039"	"Brahui"	"Pakistan"	1
"HGDP00041"	"Brahui"	"Pakistan"	1
"HGDP00043"	"Brahui"	"Pakistan"	1
"HGDP00045"	"Brahui"	"Pakistan"	1
"HGDP00047"	"Brahui"	"Pakistan"	1
"HGDP00049"	"Brahui"	"Pakistan"	1
"HGDP00052"	"Balochi"	"Pakistan"	1
"HGDP00054"	"Balochi"	"Pakistan"	1
"HGDP00056"	"Balochi"	"Pakistan"	1
"HGDP00057"	"Balochi"	"Pakistan"	1
"HGDP00058"	"Balochi"	"Pakistan"	1
"HGDP00062"	"Balochi"	"Pakistan"	1
"HGDP00064"	"Balochi"	"Pakistan"	1
"HGDP00066"	"Balochi"	"Pakistan"	1
"HGDP00068"	"Balochi"	"Pakistan"	1
"HGDP00070"	"Balochi"	"Pakistan"	1
"HGDP00072"	"Balochi"	"Pakistan"	1
"HGDP00074"	"Balochi"	"Pakistan"	1
"HGDP00076"	"Balochi"	"Pakistan"	1
"HGDP00078"	"Balochi"	"Pakistan"	1
